Round,No1,No2,No3,No4,No5,No6,Bonus,FirstPrize,FirstWinners,SecondPrize,SecondWinners,ThirdWinners,FourthWinners,FifthWinners
627,2,9,22,25,31,45,12,1352230650,10,64391936,35,1532,74824,1243945
628,1,7,12,15,23,42,11,1499942875,9,60808495,37,1628,80147,1323978
629,19,28,31,38,43,44,1,2919433575,5,71554745,34,1321,68554,1183752
630,8,17,21,24,27,31,15,4836305500,3,50378183,48,1631,84380,1420745
631,1,2,4,23,31,34,8,3919853532,4,56809472,46,1676,85710,1491785
632,15,18,21,32,35,44,6,1432587716,11,50507901,52,1645,78418,1320223
633,9,12,19,20,39,41,13,1217257094,12,51798175,47,1789,87613,1430227
634,4,10,11,12,20,27,38,1077935106,13,43250483,54,2208,101514,1562975
635,11,13,25,26,29,33,32,1855587235,8,70689038,35,1650,85675,1427626
636,6,7,15,16,20,31,26,1832362219,8,55526128,44,1973,90830,1461300
637,3,16,22,37,38,44,23,3899241094,4,57766535,45,1637,82147,1369826
638,7,18,22,24,31,34,6,2229403179,7,63438302,41,1719,84781,1422596
639,6,15,22,23,25,32,40,4061185219,4,60165707,45,1628,84861,1439719
640,14,15,18,21,26,35,23,1728768834,9,54024027,48,1639,85410,1404905
641,11,18,21,36,37,43,12,1990074563,8,53068655,50,1565,79145,1340371
642,8,17,18,24,39,45,32,1251460438,12,40369692,62,1815,88406,1465689
643,15,24,31,32,33,40,13,2535763625,6,58971248,43,1525,84656,1407225
644,5,13,17,23,28,36,8,1831451204,8,49835407,49,1879,87582,1401744
645,1,4,16,26,40,41,31,3696297750,4,88007090,28,1766,87873,1444728
646,2,9,24,41,43,45,30,2215498393,7,71798560,36,1522,77400,1321212
647,5,16,21,23,24,30,29,2189725608,7,58060907,44,1596,79202,1351926
648,13,19,28,37,38,43,4,2120987947,7,54988577,45,1631,80986,1318403
649,3,21,22,33,41,42,20,2948042100,5,54593373,45,1689,80347,1313125
650,3,4,7,11,31,41,35,2849298900,5,52764795,45,1814,87030,1429743
651,11,12,16,26,29,44,18,1855306454,8,70678342,35,1684,82567,1365832
652,3,13,15,40,41,44,20,3003483525,5,69525082,36,1504,75739,1280663
653,5,6,26,27,38,39,1,980958670,14,40873278,56,1997,88995,1419408
654,16,21,26,31,36,43,6,1879301391,8,36315003,69,1787,77788,1282725
655,7,37,38,39,40,44,18,1661439625,9,60784377,41,1610,77437,1281655
656,3,7,14,16,31,40,39,7330002750,2,50902797,48,1747,83772,1385757
657,10,14,19,39,40,43,23,1694762792,9,48887389,52,1562,78396,1325593
658,8,19,25,28,32,36,37,1634031375,9,64501239,38,1678,82738,1364069
659,7,18,19,27,29,42,45,1336604216,11,61261027,40,1765,85028,1396789
660,4,9,23,33,39,44,14,1421272575,10,49349743,48,1951,88247,1408802
661,2,3,12,20,27,38,40,1713025547,8,36254509,63,1830,87840,1426883
662,5,6,9,11,15,37,26,1689733688,8,52394844,43,1787,88493,1426759
663,3,5,8,19,38,42,20,2080244143,7,40449192,60,1627,84092,1386028
664,10,20,33,36,41,44,5,1536801338,10,58212172,44,1530,77395,1320082
665,5,6,11,17,38,44,13,3643230375,4,80960675,30,1790,87227,1430205
666,2,4,6,11,17,28,16,2396901063,6,50997895,47,1947,93631,1493940
667,15,17,25,37,42,43,13,2228764393,7,65005629,40,1543,81344,1368363
668,12,14,15,24,27,32,3,2991158625,5,44511290,56,1873,89414,1452289
669,7,8,20,29,33,38,9,2708173188,6,52080254,52,1949,93078,1531364
